"V1","V2"
1,9.30257915057915
2,9.30257915057915
3,9.30257915057915
4,9.30257915057915
5,9.30257915057915
6,9.30257915057915
7,9.30257915057915
8,9.30257915057915
9,9.30257915057915
10,9.30257915057915
11,9.30257915057915
12,9.30257915057915
13,9.30257915057915
14,9.30257915057915
15,9.30257915057915
16,9.30257915057915
17,9.30257915057915
18,9.30257915057915
19,9.30257915057915
20,9.30257915057915
21,9.30257915057915
22,9.30257915057915
23,9.30257915057915
24,9.30257915057915
25,9.30257915057915
26,9.30257915057915
27,9.30257915057915
28,9.30257915057915
29,9.30257915057915
30,9.30257915057915
31,9.30257915057915
32,9.30257915057915
33,9.30257915057915
34,9.30257915057915
35,9.30257915057915
36,9.30257915057915
37,9.30257915057915
38,9.30257915057915
39,9.30257915057915
40,9.30257915057915
41,9.30257915057915
42,9.30257915057915
43,9.30257915057915
44,9.30257915057915
45,9.30257915057915
46,9.30257915057915
47,9.30257915057915
48,9.30257915057915
49,9.30257915057915
50,9.30257915057915
51,9.30257915057915
52,9.30257915057915
53,9.30257915057915
54,9.30257915057915
55,9.30257915057915
56,9.30257915057915
57,9.30257915057915
58,9.30257915057915
59,9.30257915057915
60,9.30257915057915
61,9.30257915057915
62,9.30257915057915
63,9.30257915057915
64,9.30257915057915
65,9.30257915057915
66,9.30257915057915
67,9.30257915057915
68,9.30257915057915
69,9.30257915057915
70,9.30257915057915
71,9.30257915057915
72,9.30257915057915
73,9.30257915057915
74,9.30257915057915
75,9.30257915057915
76,9.30257915057915
77,9.30257915057915
78,9.30257915057915
79,9.30257915057915
80,9.30257915057915
81,9.30257915057915
82,9.30257915057915
83,9.30257915057915
84,9.30257915057915
85,9.30257915057915
86,9.30257915057915
87,9.30257915057915
88,9.30257915057915
89,9.30257915057915
90,9.30257915057915
91,9.30257915057915
92,9.30257915057915
93,9.30257915057915
94,9.30257915057915
95,9.30257915057915
96,9.30257915057915
97,9.30257915057915
98,9.30257915057915
99,9.30257915057915
100,9.30257915057915
